,index,Wine
0,0,Palacio del Marques 2022
1,1,Tinto 2022
2,2,Red Blend 2023
3,3,Sauvignon Blanc - Macabeo 2024
4,4,Mucho Más Sparkling N.V.
5,5,Blanco Macabeo 2023
6,6,Bobal - Shiraz 2021
7,7,Bobal Rosé 2023
8,8,Viura - Sauvignon Blanc 2022
9,9,Organic Viura - Chardonnay 2022
10,10,Medium White 2007
11,11,Selección Especial 2021
12,12,Brut N.V.
13,13,Protocolo Tinto 2022
14,14,Barrica 6 Meses Tempranillo 2022
15,15,Vega Libre Blanco 2023
16,16,Vega Libre Rosé 2023
17,17,Vega Libre Tinto 2023
18,18,Clásico Tempranillo 2023
19,19,Fortius Rosado 2023
20,20,Fortius Roble 2021
21,21,Solaz Chardonnay 2023
22,22,Protocolo Tinto 2021
23,23,Espeto Tinto 2020
24,24,Fortius Blanco 2023
25,25,Solaz Rosado 2023
26,26,Fortius Blanco Chardonnay 2020
27,27,Solaz Tempranillo 2022
28,28,Masia Hill Blanc 2023
29,29,5.5° Fizzy Frizzante Verdejo 2022
30,30,Solaz Verdejo 2023
31,31,Tinto 2023
32,32,Origium Garnacha Rosé 2019
33,33,Tinto 2021
34,34,Chardonnay Sobre Lías 2023
35,35,Bobal Premium Varietal 2021
36,36,Monastrell Selección 2018
37,37,Monastrell Selección 2022
38,38,Verdera Negre 2023
39,39,Tinto 2022
40,40,Colección Monovarietal Montesierra Garnacha 2023
41,41,Espeto Tinto 2023
42,42,Cabernet Sauvignon - Tempranillo Rosado 2022
43,43,Cava Brut Nature N.V.
44,44,Cabernet Sauvignon - Tempranillo Rosado 2021
45,45,Chardonnay 2023
46,46,Tinto 2022
47,47,Garnacha Rosé 2022
48,48,Blanc de Blancs Penedès 2023
49,49,Chardonnay 2023
50,50,Merlot 2021
51,51,Shiraz Crianza 2022
52,52,Cabernet Sauvignon Crianza 2021
53,53,Tempranillo - Merlot Penedés Rosé 2023
54,54,Barrica 12 Meses Tempranillo 2022
55,55,Chardonnay 2023
56,56,Synera Blanco 2023
57,57,Synera Tinto 2023
58,58,Zancudo Chardonnay 2023
59,59,Contorsionista Cabernet Sauvignon 2023
60,60,Canallas Bobal Rosado 2023
61,61,Rioja Rosé 2022
62,62,VII Verdejo 2022
63,63,Cava Brut Nature Roger de Flor N.V.
